Numero de iteraciones,Numero de capas,Neuronas por capa,Tasa de aprendizaje,Grado de Confianza,Minimo del error promedio en entrenamiento,Maximo del error promedio en entrenamiento,Falsos positivos entrenamiento,Falsos negativos en el entrenamiento,Minimo del error promedio en pruebas,Maximo del error promedio en pruebas,Falsos negativos en pruebas,Falsos positivos en pruebas
4000,2,[3-1],0.001,0.6,0.2281047379774654,0.25003455477743297,0,40,0.22729663864457095,0.24983179923399632,10,0
4000,2,[3-1],0.001,0.5,0.2281047379774654,0.25003455477743297,0,40,0.22729663864457095,0.24983179923399632,10,0
6000,2,[3-1],0.1,0.9,0.2292963630892556,0.25247905087607514,0,40,0.21909504671561303,0.25039491393314567,10,0
6000,2,[3-1],0.1,0.8,0.2292963630892556,0.25247905087607514,0,40,0.21909504671561303,0.25039491393314567,10,0
6000,2,[3-1],0.1,0.7,0.2292963630892556,0.25247905087607514,0,40,0.21909504671561303,0.25039491393314567,10,0
6000,2,[3-1],0.1,0.6,0.2292963630892556,0.25247905087607514,0,40,0.21909504671561303,0.25039491393314567,10,0
6000,2,[3-1],0.1,0.5,0.2292963630892556,0.25247905087607514,0,40,0.21909504671561303,0.25039491393314567,10,0
6000,2,[3-1],0.01,0.9,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
6000,2,[3-1],0.01,0.8,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
6000,2,[3-1],0.01,0.7,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
6000,2,[3-1],0.01,0.6,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
6000,2,[3-1],0.01,0.5,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
6000,2,[3-1],0.001,0.9,0.2281047379774654,0.25003520938842216,0,40,0.22729663864457095,0.25113247440075015,10,0
6000,2,[3-1],0.001,0.8,0.2281047379774654,0.25003520938842216,0,40,0.22729663864457095,0.25113247440075015,10,0
6000,2,[3-1],0.001,0.7,0.2281047379774654,0.25003520938842216,0,40,0.22729663864457095,0.25113247440075015,10,0
6000,2,[3-1],0.001,0.6,0.2281047379774654,0.25003520938842216,0,40,0.22729663864457095,0.25113247440075015,10,0
6000,2,[3-1],0.001,0.5,0.2281047379774654,0.25003520938842216,0,40,0.22729663864457095,0.25113247440075015,10,0
2000,3,[2-2-1],0.1,0.9,0.2252144419052925,0.24543162103984306,0,41,0.21157937837646731,0.24002363603443438,9,0
2000,3,[2-2-1],0.1,0.8,0.2252144419052925,0.24543162103984306,0,41,0.21157937837646731,0.24002363603443438,9,0
2000,3,[2-2-1],0.1,0.7,0.2252144419052925,0.24543162103984306,0,41,0.21157937837646731,0.24002363603443438,9,0
2000,3,[2-2-1],0.1,0.6,0.2252144419052925,0.24543162103984306,0,41,0.21157937837646731,0.24002363603443438,9,0
2000,3,[2-2-1],0.1,0.5,0.2252144419052925,0.24543162103984306,0,41,0.21157937837646731,0.24002363603443438,9,0
2000,3,[2-2-1],0.01,0.9,0.2243841454516945,0.24837994899093638,0,41,0.21113423369419057,0.24561464942736386,9,0
2000,3,[2-2-1],0.01,0.8,0.2243841454516945,0.24837994899093638,0,41,0.21113423369419057,0.24561464942736386,9,0
2000,3,[2-2-1],0.01,0.7,0.2243841454516945,0.24837994899093638,0,41,0.21113423369419057,0.24561464942736386,9,0
2000,3,[2-2-1],0.01,0.6,0.2243841454516945,0.24837994899093638,0,41,0.21113423369419057,0.24561464942736386,9,0
2000,3,[2-2-1],0.01,0.5,0.2243841454516945,0.24837994899093638,0,41,0.21113423369419057,0.24561464942736386,9,0
2000,3,[2-2-1],0.001,0.9,0.22429828648105007,0.2498286902710661,0,41,0.21109254158864985,0.2495288467038497,9,0
